,accel,accel,accel,gyro,gyro,gyro,mag,mag,mag,Q,Q,Q,Q
,x,y,z,x,y,z,x,y,z,w,x,y,z
time,,,,,,,,,,,,,
1098942,1.32162,5.482805,-8.748547,-0.1930408263473054,-0.0724534910179641,-0.070888868263473,92.63747381526095,133.39063870844544,-97.68735028974584,-0.23796282830207965,-0.9068580441812358,-0.31270877109754214,-0.1523003759973152
1098942,1.32162,5.482805,-8.748547,-0.1930408263473054,-0.0724534910179641,-0.070888868263473,92.63747381526095,133.39063870844544,-97.68735028974584,-0.23796282830207965,-0.9068580441812358,-0.31270877109754214,-0.1523003759973152
1098942,1.32162,5.482805,-8.748547,-0.1930408263473054,-0.0724534910179641,-0.070888868263473,92.63747381526095,133.39063870844544,-97.68735028974584,-0.23796282830207965,-0.9068580441812358,-0.31270877109754214,-0.1523003759973152
1098942,1.32162,5.482805,-8.748547,-0.1930408263473054,-0.0724534910179641,-0.070888868263473,92.63747381526095,133.39063870844544,-97.68735028974584,-0.23796282830207965,-0.9068580441812358,-0.31270877109754214,-0.1523003759973152
1098972,1.158811,5.521113,-7.977602,-0.1717348263473054,-0.0863024910179641,-0.057040868263473,90.83441940703514,135.26260662202975,-97.61248909072529,-0.2528477642541621,-0.9024681567386525,-0.31261784272771825,-0.15456169833654843
1098972,1.158811,5.521113,-7.977602,-0.1717348263473054,-0.0863024910179641,-0.057040868263473,90.83441940703514,135.26260662202975,-97.61248909072529,-0.2528477642541621,-0.9024681567386525,-0.31261784272771825,-0.15456169833654843
1098972,1.158811,5.521113,-7.977602,-0.1717348263473054,-0.0863024910179641,-0.057040868263473,90.83441940703514,135.26260662202975,-97.61248909072529,-0.2528477642541621,-0.9024681567386525,-0.31261784272771825,-0.15456169833654843
1098972,1.158811,5.521113,-7.977602,-0.1717348263473054,-0.0863024910179641,-0.057040868263473,90.83441940703514,135.26260662202975,-97.61248909072529,-0.2528477642541621,-0.9024681567386525,-0.31261784272771825,-0.15456169833654843
1098972,1.158811,5.521113,-7.977602,-0.1717348263473054,-0.0863024910179641,-0.057040868263473,90.83441940703514,135.26260662202975,-97.61248909072529,-0.2528477642541621,-0.9024681567386525,-0.31261784272771825,-0.15456169833654843
1098972,1.158811,5.521113,-7.977602,-0.1717348263473054,-0.0863024910179641,-0.057040868263473,90.83441940703514,135.26260662202975,-97.61248909072529,-0.2528477642541621,-0.9024681567386525,-0.31261784272771825,-0.15456169833654843
1099002,0.981638,5.473228,-8.039852,-0.0790558263473054,-0.0841714910179641,-0.024016868263473,90.83441940703514,135.26260662202975,-97.61248909072529,-0.25733337931768907,-0.9053825928786015,-0.30506817628390903,-0.14489755077353375
