,accel,accel,accel,gyro,gyro,gyro,mag,mag,mag,Q,Q,Q,Q
,x,y,z,x,y,z,x,y,z,w,x,y,z
time,,,,,,,,,,,,,
759844,0.507578,0.15802,-9.394991,0.001905173652694601,-0.002144491017964101,0.002615131736526999,66.93862966794859,155.3518550417567,-113.42327400663987,0.007458956415159628,-0.8264007927639702,-0.5624062119977837,-0.026558358281004578
759844,0.507578,0.15802,-9.394991,0.001905173652694601,-0.002144491017964101,0.002615131736526999,66.93862966794859,155.3518550417567,-113.42327400663987,0.007458956415159628,-0.8264007927639702,-0.5624062119977837,-0.026558358281004578
759844,0.507578,0.15802,-9.394991,0.001905173652694601,-0.002144491017964101,0.002615131736526999,66.93862966794859,155.3518550417567,-113.42327400663987,0.007458956415159628,-0.8264007927639702,-0.5624062119977837,-0.026558358281004578
759844,0.507578,0.15802,-9.394991,0.001905173652694601,-0.002144491017964101,0.002615131736526999,66.93862966794859,155.3518550417567,-113.42327400663987,0.007458956415159628,-0.8264007927639702,-0.5624062119977837,-0.026558358281004578
759844,0.507578,0.15802,-9.394991,0.001905173652694601,-0.002144491017964101,0.002615131736526999,66.93862966794859,155.3518550417567,-113.42327400663987,0.007458956415159628,-0.8264007927639702,-0.5624062119977837,-0.026558358281004578
759844,0.507578,0.15802,-9.394991,0.001905173652694601,-0.002144491017964101,0.002615131736526999,66.93862966794859,155.3518550417567,-113.42327400663987,0.007458956415159628,-0.8264007927639702,-0.5624062119977837,-0.026558358281004578
759874,0.526732,0.138866,-9.519491,0.0040361736526946,-0.002144491017964101,0.002615131736526999,63.938352843381146,155.98062691529267,-113.42278453990215,0.01039157484287612,-0.8204875149858718,-0.5709195437212862,-0.027260365398726696
759874,0.526732,0.138866,-9.519491,0.0040361736526946,-0.002144491017964101,0.002615131736526999,63.938352843381146,155.98062691529267,-113.42278453990215,0.01039157484287612,-0.8204875149858718,-0.5709195437212862,-0.027260365398726696
759874,0.526732,0.138866,-9.519491,0.0040361736526946,-0.002144491017964101,0.002615131736526999,63.938352843381146,155.98062691529267,-113.42278453990215,0.01039157484287612,-0.8204875149858718,-0.5709195437212862,-0.027260365398726696
759874,0.526732,0.138866,-9.519491,0.0040361736526946,-0.002144491017964101,0.002615131736526999,63.938352843381146,155.98062691529267,-113.42278453990215,0.01039157484287612,-0.8204875149858718,-0.5709195437212862,-0.027260365398726696
759874,0.526732,0.138866,-9.519491,0.0040361736526946,-0.002144491017964101,0.002615131736526999,63.938352843381146,155.98062691529267,-113.42278453990215,0.01039157484287612,-0.8204875149858718,-0.5709195437212862,-0.027260365398726696
759874,0.526732,0.138866,-9.519491,0.0040361736526946,-0.002144491017964101,0.002615131736526999,63.938352843381146,155.98062691529267,-113.42278453990215,0.01039157484287612,-0.8204875149858718,-0.5709195437212862,-0.027260365398726696
759904,0.464482,0.129289,-9.581741,-0.0012898263473053988,-0.0032104910179640983,-0.0005808682634729986,65.43683131157854,151.88464390646016,-114.51545105212273,0.008559925685629275,-0.8265407386923695,-0.5622932425169489,-0.024154593225807434
759904,0.464482,0.129289,-9.581741,-0.0012898263473053988,-0.0032104910179640983,-0.0005808682634729986,65.43683131157854,151.88464390646016,-114.51545105212273,0.008559925685629275,-0.8265407386923695,-0.5622932425169489,-0.024154593225807434
759904,0.464482,0.129289,-9.581741,-0.0012898263473053988,-0.0032104910179640983,-0.0005808682634729986,65.43683131157854,151.88464390646016,-114.51545105212273,0.008559925685629275,-0.8265407386923695,-0.5622932425169489,-0.024154593225807434
759904,0.464482,0.129289,-9.581741,-0.0012898263473053988,-0.0032104910179640983,-0.0005808682634729986,65.43683131157854,151.88464390646016,-114.51545105212273,0.008559925685629275,-0.8265407386923695,-0.5622932425169489,-0.024154593225807434
759904,0.464482,0.129289,-9.581741,-0.0012898263473053988,-0.0032104910179640983,-0.0005808682634729986,65.43683131157854,151.88464390646016,-114.51545105212273,0.008559925685629275,-0.8265407386923695,-0.5622932425169489,-0.024154593225807434
759904,0.464482,0.129289,-9.581741,-0.0012898263473053988,-0.0032104910179640983,-0.0005808682634729986,65.43683131157854,151.88464390646016,-114.51545105212273,0.008559925685629275,-0.8265407386923695,-0.5622932425169489,-0.024154593225807434
759934,0.507578,0.100558,-9.471606,-0.0023558263473054,-0.0032104910179640983,-0.0005808682634729986,63.3231842869244,154.6465871169203,-115.3030450598086,0.011133330244724021,-0.8205278582587207,-0.5709448001321769,-0.025141956587491875
759934,0.507578,0.100558,-9.471606,-0.0023558263473054,-0.0032104910179640983,-0.0005808682634729986,63.3231842869244,154.6465871169203,-115.3030450598086,0.011133330244724021,-0.8205278582587207,-0.5709448001321769,-0.025141956587491875
