,accel,accel,accel,gyro,gyro,gyro,mag,mag,mag,Q,Q,Q,Q
,x,y,z,x,y,z,x,y,z,w,x,y,z
time,,,,,,,,,,,,,
1233388,-1.221061,5.324786,-8.566585,0.0040361736526946,-0.008536491017964103,0.015399131736527003,68.31196392768044,90.19486895787828,-111.84136960922444,0.2792691132757731,0.9536081804809751,0.1078902968545398,-0.03162094771772004
1233388,-1.221061,5.324786,-8.566585,0.0040361736526946,-0.008536491017964103,0.015399131736527003,68.31196392768044,90.19486895787828,-111.84136960922444,0.2792691132757731,0.9536081804809751,0.1078902968545398,-0.03162094771772004
1233388,-1.221061,5.324786,-8.566585,0.0040361736526946,-0.008536491017964103,0.015399131736527003,68.31196392768044,90.19486895787828,-111.84136960922444,0.2792691132757731,0.9536081804809751,0.1078902968545398,-0.03162094771772004
1233388,-1.221061,5.324786,-8.566585,0.0040361736526946,-0.008536491017964103,0.015399131736527003,68.31196392768044,90.19486895787828,-111.84136960922444,0.2792691132757731,0.9536081804809751,0.1078902968545398,-0.03162094771772004
1233388,-1.221061,5.324786,-8.566585,0.0040361736526946,-0.008536491017964103,0.015399131736527003,68.31196392768044,90.19486895787828,-111.84136960922444,0.2792691132757731,0.9536081804809751,0.1078902968545398,-0.03162094771772004
1233388,-1.221061,5.324786,-8.566585,0.0040361736526946,-0.008536491017964103,0.015399131736527003,68.31196392768044,90.19486895787828,-111.84136960922444,0.2792691132757731,0.9536081804809751,0.1078902968545398,-0.03162094771772004
1233418,-1.22585,5.348729,-8.542642,-0.00022482634730539887,-0.006406491017964103,0.010072131736527,67.09216994246539,91.35321116545815,-113.60346979811695,0.27956652252551856,0.9531381572635611,0.11152352918436151,-0.03054038456661434
1233418,-1.22585,5.348729,-8.542642,-0.00022482634730539887,-0.006406491017964103,0.010072131736527,67.09216994246539,91.35321116545815,-113.60346979811695,0.27956652252551856,0.9531381572635611,0.11152352918436151,-0.03054038456661434
1233418,-1.22585,5.348729,-8.542642,-0.00022482634730539887,-0.006406491017964103,0.010072131736527,67.09216994246539,91.35321116545815,-113.60346979811695,0.27956652252551856,0.9531381572635611,0.11152352918436151,-0.03054038456661434
1233418,-1.22585,5.348729,-8.542642,-0.00022482634730539887,-0.006406491017964103,0.010072131736527,67.09216994246539,91.35321116545815,-113.60346979811695,0.27956652252551856,0.9531381572635611,0.11152352918436151,-0.03054038456661434
1233418,-1.22585,5.348729,-8.542642,-0.00022482634730539887,-0.006406491017964103,0.010072131736527,67.09216994246539,91.35321116545815,-113.60346979811695,0.27956652252551856,0.9531381572635611,0.11152352918436151,-0.03054038456661434
1233418,-1.22585,5.348729,-8.542642,-0.00022482634730539887,-0.006406491017964103,0.010072131736527,67.09216994246539,91.35321116545815,-113.60346979811695,0.27956652252551856,0.9531381572635611,0.11152352918436151,-0.03054038456661434
1233448,-1.216273,5.291266,-8.566585,-0.0055508263473054,-0.0117324910179641,0.005811131736527,71.01719417391587,85.50357960548556,-112.3488752356709,0.2735667385822936,0.9558998505940347,0.10160251352857212,-0.03307029513665611
1233448,-1.216273,5.291266,-8.566585,-0.0055508263473054,-0.0117324910179641,0.005811131736527,71.01719417391587,85.50357960548556,-112.3488752356709,0.2735667385822936,0.9558998505940347,0.10160251352857212,-0.03307029513665611
1233448,-1.216273,5.291266,-8.566585,-0.0055508263473054,-0.0117324910179641,0.005811131736527,71.01719417391587,85.50357960548556,-112.3488752356709,0.2735667385822936,0.9558998505940347,0.10160251352857212,-0.03307029513665611
1233448,-1.216273,5.291266,-8.566585,-0.0055508263473054,-0.0117324910179641,0.005811131736527,71.01719417391587,85.50357960548556,-112.3488752356709,0.2735667385822936,0.9558998505940347,0.10160251352857212,-0.03307029513665611
1233448,-1.216273,5.291266,-8.566585,-0.0055508263473054,-0.0117324910179641,0.005811131736527,71.01719417391587,85.50357960548556,-112.3488752356709,0.2735667385822936,0.9558998505940347,0.10160251352857212,-0.03307029513665611
1233448,-1.216273,5.291266,-8.566585,-0.0055508263473054,-0.0117324910179641,0.005811131736527,71.01719417391587,85.50357960548556,-112.3488752356709,0.2735667385822936,0.9558998505940347,0.10160251352857212,-0.03307029513665611
1233478,-1.254581,5.310421,-8.61447,-0.010877826347305398,-0.007471491017964099,0.005811131736527,69.50327018834243,91.40818605000088,-112.37100325192999,0.27948417395593167,0.9531120224413395,0.11140646559852938,-0.03247566179146347
1233478,-1.254581,5.310421,-8.61447,-0.010877826347305398,-0.007471491017964099,0.005811131736527,69.50327018834243,91.40818605000088,-112.37100325192999,0.27948417395593167,0.9531120224413395,0.11140646559852938,-0.03247566179146347
