,accel,accel,accel,gyro,gyro,gyro,mag,mag,mag,Q,Q,Q,Q
,x,y,z,x,y,z,x,y,z,w,x,y,z
time,,,,,,,,,,,,,
245883,1.201908,3.964859,-9.236971,0.0338641736526946,-0.014928491017964098,0.023921131736526997,54.07862022252352,101.16206613273688,-123.1883376933498,0.1572799657091359,0.8861970501349502,0.41239401414551863,0.14088640039262573
245883,1.201908,3.964859,-9.236971,0.0338641736526946,-0.014928491017964098,0.023921131736526997,54.07862022252352,101.16206613273688,-123.1883376933498,0.1572799657091359,0.8861970501349502,0.41239401414551863,0.14088640039262573
245883,1.201908,3.964859,-9.236971,0.0338641736526946,-0.014928491017964098,0.023921131736526997,54.07862022252352,101.16206613273688,-123.1883376933498,0.1572799657091359,0.8861970501349502,0.41239401414551863,0.14088640039262573
245883,1.201908,3.964859,-9.236971,0.0338641736526946,-0.014928491017964098,0.023921131736526997,54.07862022252352,101.16206613273688,-123.1883376933498,0.1572799657091359,0.8861970501349502,0.41239401414551863,0.14088640039262573
245883,1.201908,3.964859,-9.236971,0.0338641736526946,-0.014928491017964098,0.023921131736526997,54.07862022252352,101.16206613273688,-123.1883376933498,0.1572799657091359,0.8861970501349502,0.41239401414551863,0.14088640039262573
245883,1.201908,3.964859,-9.236971,0.0338641736526946,-0.014928491017964098,0.023921131736526997,54.07862022252352,101.16206613273688,-123.1883376933498,0.1572799657091359,0.8861970501349502,0.41239401414551863,0.14088640039262573
245913,1.407812,3.912185,-9.385414,0.0061671736526946,0.0255525089820359,0.0015501317365269988,56.4968448734331,100.62412620861616,-121.38293723582119,0.14776664926972571,0.8872795579743574,0.4120417771231327,0.14533264351011188
245913,1.407812,3.912185,-9.385414,0.0061671736526946,0.0255525089820359,0.0015501317365269988,56.4968448734331,100.62412620861616,-121.38293723582119,0.14776664926972571,0.8872795579743574,0.4120417771231327,0.14533264351011188
245913,1.407812,3.912185,-9.385414,0.0061671736526946,0.0255525089820359,0.0015501317365269988,56.4968448734331,100.62412620861616,-121.38293723582119,0.14776664926972571,0.8872795579743574,0.4120417771231327,0.14533264351011188
245913,1.407812,3.912185,-9.385414,0.0061671736526946,0.0255525089820359,0.0015501317365269988,56.4968448734331,100.62412620861616,-121.38293723582119,0.14776664926972571,0.8872795579743574,0.4120417771231327,0.14533264351011188
245913,1.407812,3.912185,-9.385414,0.0061671736526946,0.0255525089820359,0.0015501317365269988,56.4968448734331,100.62412620861616,-121.38293723582119,0.14776664926972571,0.8872795579743574,0.4120417771231327,0.14533264351011188
245913,1.407812,3.912185,-9.385414,0.0061671736526946,0.0255525089820359,0.0015501317365269988,56.4968448734331,100.62412620861616,-121.38293723582119,0.14776664926972571,0.8872795579743574,0.4120417771231327,0.14533264351011188
245943,1.192331,3.893031,-8.940085,-0.037509826347305396,0.0031815089820359,-0.032538868263473,54.08453963755611,101.19194490461747,-122.58433571086188,0.1575947407903017,0.8850015862794042,0.41436518394369304,0.1422588636728319
245943,1.192331,3.893031,-8.940085,-0.037509826347305396,0.0031815089820359,-0.032538868263473,54.08453963755611,101.19194490461747,-122.58433571086188,0.1575947407903017,0.8850015862794042,0.41436518394369304,0.1422588636728319
245943,1.192331,3.893031,-8.940085,-0.037509826347305396,0.0031815089820359,-0.032538868263473,54.08453963755611,101.19194490461747,-122.58433571086188,0.1575947407903017,0.8850015862794042,0.41436518394369304,0.1422588636728319
245943,1.192331,3.893031,-8.940085,-0.037509826347305396,0.0031815089820359,-0.032538868263473,54.08453963755611,101.19194490461747,-122.58433571086188,0.1575947407903017,0.8850015862794042,0.41436518394369304,0.1422588636728319
245943,1.192331,3.893031,-8.940085,-0.037509826347305396,0.0031815089820359,-0.032538868263473,54.08453963755611,101.19194490461747,-122.58433571086188,0.1575947407903017,0.8850015862794042,0.41436518394369304,0.1422588636728319
245943,1.192331,3.893031,-8.940085,-0.037509826347305396,0.0031815089820359,-0.032538868263473,54.08453963755611,101.19194490461747,-122.58433571086188,0.1575947407903017,0.8850015862794042,0.41436518394369304,0.1422588636728319
245973,1.06783,3.921762,-8.815585,0.0008401736526946011,0.006377508982035901,-0.012298868263473,55.27704925854159,101.78246850421863,-123.14503572846345,0.16058069229336422,0.8883581371005419,0.40701247422278225,0.13919233936135864
245973,1.06783,3.921762,-8.815585,0.0008401736526946011,0.006377508982035901,-0.012298868263473,55.27704925854159,101.78246850421863,-123.14503572846345,0.16058069229336422,0.8883581371005419,0.40701247422278225,0.13919233936135864
245973,1.06783,3.921762,-8.815585,0.0008401736526946011,0.006377508982035901,-0.012298868263473,55.27704925854159,101.78246850421863,-123.14503572846345,0.16058069229336422,0.8883581371005419,0.40701247422278225,0.13919233936135864
