,accel,accel,accel,gyro,gyro,gyro,mag,mag,mag,Q,Q,Q,Q
,x,y,z,x,y,z,x,y,z,w,x,y,z
time,,,,,,,,,,,,,
425740,-0.689541,4.793265,-9.059797,0.0146891736526946,0.021291508982035898,-0.0016458682634729986,65.89585914463267,98.91879846493127,-111.43085487672063,-0.24164795236525735,-0.9457418259551447,-0.21627988396608633,-0.020041894828666824
425740,-0.689541,4.793265,-9.059797,0.0146891736526946,0.021291508982035898,-0.0016458682634729986,65.89585914463267,98.91879846493127,-111.43085487672063,-0.24164795236525735,-0.9457418259551447,-0.21627988396608633,-0.020041894828666824
425740,-0.689541,4.793265,-9.059797,0.0146891736526946,0.021291508982035898,-0.0016458682634729986,65.89585914463267,98.91879846493127,-111.43085487672063,-0.24164795236525735,-0.9457418259551447,-0.21627988396608633,-0.020041894828666824
425740,-0.689541,4.793265,-9.059797,0.0146891736526946,0.021291508982035898,-0.0016458682634729986,65.89585914463267,98.91879846493127,-111.43085487672063,-0.24164795236525735,-0.9457418259551447,-0.21627988396608633,-0.020041894828666824
425740,-0.689541,4.793265,-9.059797,0.0146891736526946,0.021291508982035898,-0.0016458682634729986,65.89585914463267,98.91879846493127,-111.43085487672063,-0.24164795236525735,-0.9457418259551447,-0.21627988396608633,-0.020041894828666824
425740,-0.689541,4.793265,-9.059797,0.0146891736526946,0.021291508982035898,-0.0016458682634729986,65.89585914463267,98.91879846493127,-111.43085487672063,-0.24164795236525735,-0.9457418259551447,-0.21627988396608633,-0.020041894828666824
425770,-0.622502,4.874669,-9.02149,-0.018334826347305398,-0.017058491017964098,0.0015501317365269988,63.7976592502427,99.8721180669455,-111.10365776521563,-0.24575795076733445,-0.9437273627829587,-0.2198998778277633,-0.025014757658178368
425770,-0.622502,4.874669,-9.02149,-0.018334826347305398,-0.017058491017964098,0.0015501317365269988,63.7976592502427,99.8721180669455,-111.10365776521563,-0.24575795076733445,-0.9437273627829587,-0.2198998778277633,-0.025014757658178368
425770,-0.622502,4.874669,-9.02149,-0.018334826347305398,-0.017058491017964098,0.0015501317365269988,63.7976592502427,99.8721180669455,-111.10365776521563,-0.24575795076733445,-0.9437273627829587,-0.2198998778277633,-0.025014757658178368
425770,-0.622502,4.874669,-9.02149,-0.018334826347305398,-0.017058491017964098,0.0015501317365269988,63.7976592502427,99.8721180669455,-111.10365776521563,-0.24575795076733445,-0.9437273627829587,-0.2198998778277633,-0.025014757658178368
425770,-0.622502,4.874669,-9.02149,-0.018334826347305398,-0.017058491017964098,0.0015501317365269988,63.7976592502427,99.8721180669455,-111.10365776521563,-0.24575795076733445,-0.9437273627829587,-0.2198998778277633,-0.025014757658178368
425770,-0.622502,4.874669,-9.02149,-0.018334826347305398,-0.017058491017964098,0.0015501317365269988,63.7976592502427,99.8721180669455,-111.10365776521563,-0.24575795076733445,-0.9437273627829587,-0.2198998778277633,-0.025014757658178368
425800,-0.670387,4.845938,-8.667142,-0.030052826347305397,-0.002144491017964101,-0.009102868263473,63.783413760498306,101.05795982229756,-112.24951982202238,-0.2509111351145554,-0.9431440442873713,-0.21677982210881483,-0.023009187887818337
425800,-0.670387,4.845938,-8.667142,-0.030052826347305397,-0.002144491017964101,-0.009102868263473,63.783413760498306,101.05795982229756,-112.24951982202238,-0.2509111351145554,-0.9431440442873713,-0.21677982210881483,-0.023009187887818337
425800,-0.670387,4.845938,-8.667142,-0.030052826347305397,-0.002144491017964101,-0.009102868263473,63.783413760498306,101.05795982229756,-112.24951982202238,-0.2509111351145554,-0.9431440442873713,-0.21677982210881483,-0.023009187887818337
425800,-0.670387,4.845938,-8.667142,-0.030052826347305397,-0.002144491017964101,-0.009102868263473,63.783413760498306,101.05795982229756,-112.24951982202238,-0.2509111351145554,-0.9431440442873713,-0.21677982210881483,-0.023009187887818337
425800,-0.670387,4.845938,-8.667142,-0.030052826347305397,-0.002144491017964101,-0.009102868263473,63.783413760498306,101.05795982229756,-112.24951982202238,-0.2509111351145554,-0.9431440442873713,-0.21677982210881483,-0.023009187887818337
425800,-0.670387,4.845938,-8.667142,-0.030052826347305397,-0.002144491017964101,-0.009102868263473,63.783413760498306,101.05795982229756,-112.24951982202238,-0.2509111351145554,-0.9431440442873713,-0.21677982210881483,-0.023009187887818337
425830,-0.656021,4.668765,-8.743758,-0.0044858263473054,0.0202255089820359,-0.017624868263473,69.18656696027469,98.55601248806249,-112.31875494024906,-0.24279623517430857,-0.9465314494759611,-0.21149944102416612,-0.019904516688006146
425830,-0.656021,4.668765,-8.743758,-0.0044858263473054,0.0202255089820359,-0.017624868263473,69.18656696027469,98.55601248806249,-112.31875494024906,-0.24279623517430857,-0.9465314494759611,-0.21149944102416612,-0.019904516688006146
