		A	A	A	b
		x	y	z	b
gyro	x	1.0	0.0	0.0	-0.0114931736526946
gyro	y	0.0	1.0	0.0	-0.0298135089820359
gyro	z	0.0	0.0	1.0	0.020820868263473
accel	x	1.0	0.0	0.0	0.0
accel	y	0.0	1.0	0.0	0.0
accel	z	0.0	0.0	1.0	0.0
mag	x	1.6464647977657287	-0.003281985203227	0.0167883327498212	-10.789035136172496
mag	y	-0.0032819852032272	1.6986239097184852	0.0847405971241059	28.647601670077737
mag	z	0.0167883327498214	0.0847405971241059	1.7130385701504476	85.60330694243594
